Unity 6000.6.0f1, Apple M3, 1080x1920; record=True; duration=30; fallTest=False
camera=(5.66, -1.85, -11.56) euler=(344.60, 333.45, 0.00) botViewport=(0.44, 0.44, 12.60) visualBounds=Center: (-0.75, 0.92, -0.92), Extents: (0.67, 0.91, 0.67) renderers=50 visualViewport=(0.44, 0.45, 12.67)
landed=1 height=0.91 record=1.23 worldY=1.63 t=0.67 round=0 recycled=0 rebases=0
landed=2 height=1.44 record=1.88 worldY=2.16 t=1.27 round=0 recycled=0 rebases=0
landed=3 height=1.96 record=2.53 worldY=2.68 t=1.87 round=0 recycled=0 rebases=0
landed=4 height=2.86 record=3.18 worldY=3.58 t=2.53 round=0 recycled=0 rebases=0
landed=5 height=3.39 record=3.83 worldY=4.11 t=3.13 round=0 recycled=0 rebases=0
landed=6 height=3.91 record=4.48 worldY=4.63 t=3.73 round=0 recycled=0 rebases=0
landed=7 height=4.92 record=5.13 worldY=5.64 t=4.40 round=0 recycled=0 rebases=0
landed=8 height=5.46 record=5.78 worldY=6.18 t=5.00 round=0 recycled=0 rebases=0
landed=9 height=5.99 record=6.43 worldY=6.71 t=5.60 round=0 recycled=0 rebases=0
landed=10 height=6.51 record=7.08 worldY=7.23 t=6.20 round=0 recycled=1 rebases=0
landed=11 height=7.41 record=7.73 worldY=8.13 t=6.87 round=0 recycled=2 rebases=0
landed=12 height=7.94 record=8.38 worldY=8.66 t=7.47 round=0 recycled=3 rebases=0
landed=13 height=8.46 record=9.03 worldY=9.18 t=8.07 round=0 recycled=4 rebases=0
landed=14 height=9.36 record=9.68 worldY=10.08 t=8.73 round=0 recycled=5 rebases=0
landed=15 height=9.89 record=10.33 worldY=10.61 t=9.33 round=0 recycled=6 rebases=0
landed=16 height=10.41 record=10.98 worldY=11.13 t=9.93 round=0 recycled=7 rebases=0
landed=17 height=11.42 record=11.63 worldY=12.14 t=10.60 round=0 recycled=8 rebases=0
landed=18 height=11.96 record=12.28 worldY=12.68 t=11.20 round=0 recycled=9 rebases=0
landed=19 height=12.49 record=12.93 worldY=13.21 t=11.80 round=0 recycled=10 rebases=0
landed=20 height=13.01 record=13.58 worldY=13.73 t=12.40 round=0 recycled=11 rebases=0
landed=21 height=13.91 record=14.23 worldY=14.63 t=13.07 round=0 recycled=12 rebases=0
landed=22 height=14.44 record=14.88 worldY=15.16 t=13.67 round=0 recycled=13 rebases=0
landed=23 height=14.96 record=15.53 worldY=15.68 t=14.27 round=0 recycled=14 rebases=0
landed=24 height=15.86 record=16.18 worldY=16.58 t=14.93 round=0 recycled=16 rebases=0
landed=25 height=16.39 record=16.83 worldY=17.11 t=15.53 round=0 recycled=17 rebases=0
landed=26 height=16.91 record=17.48 worldY=17.63 t=16.13 round=0 recycled=18 rebases=0
landed=27 height=17.92 record=18.13 worldY=18.64 t=16.80 round=0 recycled=19 rebases=0
landed=28 height=18.46 record=18.78 worldY=19.18 t=17.40 round=0 recycled=20 rebases=0
landed=29 height=18.99 record=19.43 worldY=19.71 t=18.00 round=0 recycled=21 rebases=0
landed=30 height=19.51 record=20.08 worldY=20.23 t=18.60 round=0 recycled=22 rebases=0
landed=31 height=20.41 record=20.73 worldY=21.13 t=19.27 round=0 recycled=23 rebases=0
landed=32 height=20.94 record=21.38 worldY=21.66 t=19.87 round=0 recycled=24 rebases=0
landed=33 height=21.46 record=22.03 worldY=22.18 t=20.47 round=0 recycled=25 rebases=0
landed=34 height=22.36 record=22.68 worldY=23.08 t=21.13 round=0 recycled=26 rebases=0
landed=35 height=22.89 record=23.33 worldY=23.61 t=21.73 round=0 recycled=27 rebases=0
landed=36 height=23.41 record=23.98 worldY=24.13 t=22.33 round=0 recycled=29 rebases=0
landed=37 height=24.42 record=24.63 worldY=25.14 t=23.00 round=0 recycled=30 rebases=0
landed=38 height=24.96 record=25.28 worldY=25.68 t=23.60 round=0 recycled=31 rebases=0
landed=39 height=25.49 record=25.93 worldY=26.21 t=24.20 round=0 recycled=32 rebases=0
landed=40 height=26.01 record=26.58 worldY=26.73 t=24.80 round=0 recycled=33 rebases=0
landed=41 height=26.91 record=27.23 worldY=27.63 t=25.47 round=0 recycled=34 rebases=0
landed=42 height=27.44 record=27.88 worldY=28.16 t=26.07 round=0 recycled=35 rebases=0
landed=43 height=27.96 record=28.53 worldY=28.68 t=26.67 round=0 recycled=36 rebases=0
landed=44 height=28.86 record=29.18 worldY=29.58 t=27.33 round=0 recycled=37 rebases=0
landed=45 height=29.39 record=29.83 worldY=30.11 t=27.93 round=0 recycled=38 rebases=0
landed=46 height=29.91 record=30.48 worldY=30.63 t=28.53 round=0 recycled=39 rebases=0
landed=47 height=30.92 record=31.13 worldY=31.64 t=29.20 round=0 recycled=40 rebases=0
landed=48 height=31.46 record=31.78 worldY=32.18 t=29.80 round=0 recycled=42 rebases=0
PASS Continuous_play_climbsWithBoundedPools elapsedGame=30.00 elapsedReal=93.93 maxHeight=32.28 round=0 platforms=32/32 bodies=4 recycles=42 rebases=0 stalled=False sawFell=False state=Climb position=(3.73, 33.00, 1.65) target=(4.03, 32.57, 2.58) origin=(0.00, 0.00, 0.00) originStable=True maxPoolLocalY=46.8
Capture timings (Editor, not player FPS): render=2.5ms readback=94.0ms PNG=98.9ms n=436
