Unity 6000.6.0f1, Apple M3, 1080x1920; record=True; duration=30; fallTest=True
camera=(5.66, -1.85, -11.56) euler=(344.60, 333.45, 0.00) botViewport=(0.44, 0.44, 12.60) visualBounds=Center: (-0.67, 0.73, -0.99), Extents: (0.39, 0.81, 0.66) renderers=22 visualViewport=(0.44, 0.44, 12.53)
landed=1 height=0.91 record=1.23 worldY=1.63 t=0.67 round=0 recycled=0 rebases=0
landed=2 height=1.44 record=1.88 worldY=2.16 t=1.27 round=0 recycled=0 rebases=0
landed=3 height=1.96 record=2.53 worldY=2.68 t=1.87 round=0 recycled=0 rebases=0
landed=4 height=2.86 record=3.18 worldY=3.58 t=2.53 round=0 recycled=0 rebases=0
landed=5 height=3.39 record=3.83 worldY=4.11 t=3.13 round=0 recycled=0 rebases=0
landed=6 height=3.91 record=4.48 worldY=4.63 t=3.73 round=0 recycled=0 rebases=0
landed=7 height=4.92 record=5.13 worldY=5.64 t=4.40 round=0 recycled=0 rebases=0
landed=8 height=5.46 record=5.78 worldY=6.18 t=5.00 round=0 recycled=0 rebases=0
landed=9 height=5.99 record=6.43 worldY=6.71 t=5.60 round=0 recycled=0 rebases=0
landed=10 height=6.51 record=7.08 worldY=7.23 t=6.20 round=0 recycled=1 rebases=0
landed=11 height=7.41 record=7.73 worldY=8.13 t=6.87 round=0 recycled=2 rebases=0
landed=12 height=7.94 record=8.38 worldY=8.66 t=7.47 round=0 recycled=3 rebases=0
landed=13 height=8.46 record=9.03 worldY=9.18 t=8.07 round=0 recycled=4 rebases=0
landed=14 height=9.36 record=9.68 worldY=10.08 t=8.73 round=0 recycled=5 rebases=0
landed=15 height=9.89 record=10.33 worldY=10.61 t=9.33 round=0 recycled=6 rebases=0
landed=16 height=10.41 record=10.98 worldY=11.13 t=9.93 round=0 recycled=7 rebases=0
landed=17 height=11.42 record=11.63 worldY=12.14 t=10.60 round=0 recycled=8 rebases=0
landed=18 height=11.96 record=12.28 worldY=12.68 t=11.20 round=0 recycled=9 rebases=0
landed=19 height=12.49 record=12.93 worldY=13.21 t=11.80 round=0 recycled=10 rebases=0
landed=20 height=13.01 record=13.58 worldY=13.73 t=12.40 round=0 recycled=11 rebases=0
landed=21 height=13.91 record=14.23 worldY=14.63 t=13.07 round=0 recycled=12 rebases=0
landed=22 height=14.44 record=14.88 worldY=15.16 t=13.67 round=0 recycled=13 rebases=0
landed=23 height=14.96 record=15.53 worldY=7.88 t=14.27 round=0 recycled=14 rebases=1
landed=24 height=15.86 record=16.18 worldY=8.78 t=14.93 round=0 recycled=16 rebases=1
landed=25 height=16.39 record=16.83 worldY=9.31 t=15.53 round=0 recycled=17 rebases=1
landed=26 height=16.91 record=17.48 worldY=9.83 t=16.13 round=0 recycled=18 rebases=1
landed=27 height=17.92 record=18.13 worldY=10.84 t=16.80 round=0 recycled=19 rebases=1
landed=28 height=18.46 record=18.78 worldY=11.38 t=17.40 round=0 recycled=20 rebases=1
landed=29 height=18.99 record=19.43 worldY=11.91 t=18.00 round=0 recycled=21 rebases=1
landed=0 height=0.01 record=20.01 worldY=0.73 t=19.07 round=1 recycled=21 rebases=1
landed=1 height=0.91 record=20.01 worldY=1.63 t=19.73 round=1 recycled=21 rebases=1
landed=2 height=1.44 record=20.01 worldY=2.16 t=20.33 round=1 recycled=21 rebases=1
landed=3 height=1.96 record=20.01 worldY=2.68 t=20.93 round=1 recycled=21 rebases=1
landed=4 height=2.97 record=20.01 worldY=3.69 t=21.60 round=1 recycled=21 rebases=1
landed=5 height=3.51 record=20.01 worldY=4.23 t=22.20 round=1 recycled=21 rebases=1
landed=6 height=4.04 record=20.01 worldY=4.76 t=22.80 round=1 recycled=21 rebases=1
landed=7 height=4.56 record=20.01 worldY=5.28 t=23.40 round=1 recycled=21 rebases=1
landed=8 height=5.46 record=20.01 worldY=6.18 t=24.07 round=1 recycled=21 rebases=1
landed=9 height=5.99 record=20.01 worldY=6.71 t=24.67 round=1 recycled=21 rebases=1
landed=10 height=6.51 record=20.01 worldY=7.23 t=25.27 round=1 recycled=22 rebases=1
landed=11 height=7.41 record=20.01 worldY=8.13 t=25.93 round=1 recycled=23 rebases=1
landed=12 height=7.94 record=20.01 worldY=8.66 t=26.53 round=1 recycled=24 rebases=1
landed=13 height=8.46 record=20.01 worldY=9.18 t=27.13 round=1 recycled=25 rebases=1
landed=14 height=9.47 record=20.01 worldY=10.19 t=27.80 round=1 recycled=26 rebases=1
landed=15 height=10.01 record=20.01 worldY=10.73 t=28.40 round=1 recycled=27 rebases=1
landed=16 height=10.54 record=20.01 worldY=11.26 t=29.00 round=1 recycled=28 rebases=1
landed=17 height=11.06 record=20.01 worldY=11.78 t=29.60 round=1 recycled=29 rebases=1
PASS Continuous_play_climbsWithBoundedPools elapsedGame=30.00 elapsedReal=116.17 maxHeight=20.01 round=1 platforms=32/32 bodies=4 recycles=29 rebases=1 stalled=False sawFell=True sawResetAtSpawn=True state=Climb position=(3.21, 12.99, 0.64) target=(3.51, 12.42, 0.98) origin=(0.00, 0.00, 0.00) originStable=True visualSafe=True maxPoolLocalY=28.6
Capture timings (Editor, not player FPS): render=4.1ms readback=74.5ms PNG=162.0ms n=436
